Time (ms),Joint 1 (deg),Joint 2 (deg),Joint 3 (deg),Joint 4 (deg),Joint 5 (deg),Joint 6 (deg),Twin 1 (deg),Twin 2 (deg),Twin 3 (deg),Twin 4 (deg),Twin 5 (deg),Twin 6 (deg)
9.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
9.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
9.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
9.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
9.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
10.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
11.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
12.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
